Time,People Count,Density
17:41:08,12,LOW
17:41:08,12,LOW
17:41:08,12,LOW
17:41:08,12,LOW
17:41:09,11,LOW
17:41:09,11,LOW
17:41:09,12,LOW
17:41:09,12,LOW
17:41:09,13,LOW
17:41:09,12,LOW
17:41:09,12,LOW
17:41:10,13,LOW
17:41:10,13,LOW
17:41:10,14,LOW
17:41:10,13,LOW
17:41:10,13,LOW
17:41:10,14,LOW
17:41:11,13,LOW
17:41:11,13,LOW
17:41:11,14,LOW
17:41:11,13,LOW
17:41:11,12,LOW
17:41:11,12,LOW
17:41:11,12,LOW
17:41:12,13,LOW
17:41:12,14,LOW
17:41:12,13,LOW
17:41:12,13,LOW
17:41:12,12,LOW
17:41:12,12,LOW
17:41:13,12,LOW
17:41:13,12,LOW
17:41:13,12,LOW
17:41:13,13,LOW
17:41:13,12,LOW
17:41:13,14,LOW
17:41:13,11,LOW
17:41:14,15,MEDIUM
17:41:14,12,LOW
17:41:14,11,LOW
17:41:14,13,LOW
17:41:14,11,LOW
17:41:14,12,LOW
17:41:15,13,LOW
17:41:15,12,LOW
17:41:15,14,LOW
17:41:15,11,LOW
17:41:15,12,LOW
17:41:15,12,LOW
17:41:15,12,LOW
17:41:16,11,LOW
17:41:16,14,LOW
17:41:16,12,LOW
17:41:16,14,LOW
17:41:16,13,LOW
17:41:16,12,LOW
17:41:17,13,LOW
17:41:17,14,LOW
17:41:17,13,LOW
17:41:17,16,MEDIUM
17:41:17,13,LOW
17:41:17,13,LOW
17:41:17,12,LOW
17:41:18,12,LOW
17:41:18,14,LOW
17:41:18,13,LOW
17:41:18,12,LOW
17:41:18,9,LOW
17:41:18,10,LOW
17:41:18,8,LOW
17:41:19,9,LOW
17:41:19,9,LOW
17:41:19,9,LOW
17:41:19,10,LOW
17:41:19,10,LOW
17:41:19,11,LOW
17:41:20,9,LOW
17:41:20,12,LOW
17:41:20,14,LOW
17:41:20,13,LOW
17:41:20,10,LOW
17:41:20,10,LOW
17:41:20,11,LOW
17:41:21,14,LOW
17:41:21,11,LOW
17:41:21,13,LOW
17:41:21,10,LOW
17:41:21,11,LOW
17:41:21,11,LOW
17:41:22,13,LOW
17:41:22,13,LOW
17:41:22,12,LOW
17:41:22,11,LOW
17:41:22,14,LOW
17:41:22,15,MEDIUM
17:41:22,14,LOW
17:41:23,13,LOW
17:41:23,15,MEDIUM
17:41:23,13,LOW
17:41:23,14,LOW
17:41:23,11,LOW
17:41:23,13,LOW
17:41:24,15,MEDIUM
17:41:24,15,MEDIUM
17:41:24,14,LOW
17:41:24,14,LOW
17:41:24,15,MEDIUM
17:41:24,13,LOW
17:41:24,14,LOW
17:41:25,13,LOW
17:41:25,13,LOW
17:41:25,12,LOW
17:41:25,13,LOW
17:41:25,15,MEDIUM
17:41:25,13,LOW
17:41:26,16,MEDIUM
17:41:26,16,MEDIUM
17:41:26,14,LOW
17:41:26,13,LOW
17:41:26,15,MEDIUM
17:41:26,14,LOW
17:41:26,16,MEDIUM
17:41:27,15,MEDIUM
17:41:27,16,MEDIUM
17:41:27,15,MEDIUM
17:41:27,17,MEDIUM
17:41:27,14,LOW
17:41:27,14,LOW
17:41:28,14,LOW
17:41:28,14,LOW
17:41:28,13,LOW
17:41:28,14,LOW
17:41:28,13,LOW
17:41:28,14,LOW
17:41:28,14,LOW
17:41:29,13,LOW
17:41:29,13,LOW
17:41:29,11,LOW
17:41:29,12,LOW
17:41:29,12,LOW
17:41:29,11,LOW
17:41:30,13,LOW
17:41:30,12,LOW
17:41:30,13,LOW
17:41:30,12,LOW
17:41:30,13,LOW
17:41:30,13,LOW
17:41:30,14,LOW
17:41:31,14,LOW
17:41:31,14,LOW
17:41:31,16,MEDIUM
17:41:31,14,LOW
17:41:31,15,MEDIUM
17:41:32,11,LOW
17:41:32,13,LOW
17:41:32,14,LOW
17:41:32,13,LOW
17:41:32,14,LOW
17:41:32,14,LOW
17:41:33,13,LOW
17:41:33,11,LOW
17:41:33,13,LOW
17:41:33,10,LOW
17:41:33,12,LOW
17:41:33,12,LOW
17:41:34,13,LOW
17:41:34,11,LOW
17:41:34,11,LOW
17:41:34,12,LOW
17:41:34,12,LOW
17:41:34,12,LOW
17:41:34,15,MEDIUM
17:41:35,12,LOW
17:41:35,11,LOW
17:41:35,14,LOW
17:41:35,12,LOW
17:41:35,12,LOW
17:41:35,15,MEDIUM
17:41:36,13,LOW
17:41:36,15,MEDIUM
17:41:36,15,MEDIUM
17:41:36,18,MEDIUM
17:41:36,16,MEDIUM
17:41:36,17,MEDIUM
17:41:36,14,LOW
17:41:37,16,MEDIUM
17:41:37,17,MEDIUM
17:41:37,17,MEDIUM
17:41:37,14,LOW
17:41:37,16,MEDIUM
17:41:37,17,MEDIUM
17:41:38,16,MEDIUM
17:41:38,16,MEDIUM
17:41:38,14,LOW
17:41:38,15,MEDIUM
17:41:38,17,MEDIUM
17:41:38,15,MEDIUM
17:41:38,15,MEDIUM
17:41:39,14,LOW
17:41:39,18,MEDIUM
17:41:39,13,LOW
17:41:39,18,MEDIUM
17:41:39,18,MEDIUM
17:41:39,17,MEDIUM
17:41:40,16,MEDIUM
17:41:40,17,MEDIUM
17:41:40,16,MEDIUM
17:41:40,16,MEDIUM
17:41:40,17,MEDIUM
17:41:40,19,MEDIUM
17:41:40,18,MEDIUM
17:41:41,13,LOW
17:41:41,11,LOW
17:41:41,14,LOW
17:41:41,15,MEDIUM
17:41:41,17,MEDIUM
17:41:41,15,MEDIUM
17:41:42,16,MEDIUM
17:41:42,15,MEDIUM
17:41:42,15,MEDIUM
17:41:42,16,MEDIUM
17:41:42,15,MEDIUM
17:41:42,16,MEDIUM
17:41:42,15,MEDIUM
