Time,Area A,Area B,Best Route
18:11:29,27,31,1
18:11:29,26,31,1
18:11:29,28,30,1
18:11:30,25,30,1
18:11:30,24,31,1
18:11:30,25,30,1
18:11:30,26,27,1
18:11:30,25,29,1
18:11:30,23,27,1
18:11:30,25,27,1
18:11:31,25,23,2
18:11:31,26,26,1
18:11:31,26,27,1
18:11:31,28,28,1
18:11:31,26,29,1
18:11:31,28,26,2
18:11:32,28,25,2
18:11:32,30,26,2
18:11:32,33,31,2
18:11:32,34,27,2
18:11:32,32,30,2
18:11:32,33,30,2
18:11:33,33,29,2
18:11:33,31,25,2
18:11:33,26,25,2
18:11:33,30,26,2
18:11:33,29,24,2
18:11:33,28,32,1
18:11:33,25,22,2
18:11:34,24,25,1
18:11:34,28,20,2
18:11:34,29,20,2
18:11:34,29,23,2
18:11:34,28,29,1
18:11:34,31,30,2
18:11:35,33,28,2
18:11:35,29,27,2
18:11:35,29,27,2
18:11:35,30,28,2
18:11:35,29,23,2
18:11:35,30,23,2
18:11:36,33,28,2
18:11:36,33,28,2
18:11:36,30,29,2
18:11:36,34,26,2
18:11:36,32,25,2
18:11:36,31,26,2
18:11:36,32,30,2
18:11:37,31,31,1
18:11:37,32,31,2
18:11:37,32,27,2
18:11:37,30,25,2
18:11:37,36,25,2
18:11:37,30,22,2
18:11:38,32,25,2
18:11:38,31,25,2
18:11:38,33,23,2
18:11:38,33,30,2
18:11:38,31,27,2
18:11:38,31,27,2
18:11:39,30,28,2
18:11:39,31,26,2
18:11:39,31,25,2
18:11:39,26,31,1
18:11:39,30,25,2
18:11:39,29,29,1
18:11:40,29,26,2
18:11:40,28,25,2
18:11:40,26,26,1
18:11:40,27,24,2
18:11:40,25,24,2
18:11:40,27,27,1
18:11:40,25,28,1
18:11:41,24,32,1
18:11:41,24,31,1
18:11:41,26,36,1
18:11:41,28,41,1
18:11:41,26,40,1
18:11:41,22,39,1
18:11:42,25,37,1
18:11:42,25,35,1
18:11:42,27,32,1
18:11:42,28,30,1
18:11:42,26,39,1
18:11:42,27,31,1
18:11:43,26,30,1
18:11:43,25,31,1
18:11:43,27,32,1
18:11:43,28,32,1
18:11:43,27,36,1
18:11:43,29,38,1
18:11:43,29,39,1
18:11:44,28,37,1
18:11:44,28,31,1
18:11:44,27,33,1
18:11:44,31,36,1
18:11:44,30,31,1
18:11:44,31,24,2
18:11:45,32,29,2
18:11:45,32,29,2
18:11:45,30,32,1
18:11:45,32,26,2
18:11:45,29,25,2
18:11:45,32,24,2
18:11:46,31,26,2
18:11:46,29,28,2
18:11:46,27,29,1
18:11:46,27,30,1
18:11:46,31,26,2
18:11:46,28,26,2
18:11:46,30,26,2
18:11:47,28,28,1
18:11:47,29,26,2
18:11:47,27,29,1
18:11:47,27,30,1
18:11:47,27,30,1
18:11:47,27,31,1
18:11:48,26,27,1
18:11:48,26,24,2
18:11:48,25,28,1
18:11:48,25,26,1
18:11:48,28,23,2
18:11:48,32,27,2
18:11:49,31,24,2
18:11:49,33,22,2
18:11:49,33,21,2
18:11:49,33,30,2
18:11:49,32,33,1
18:11:49,34,27,2
18:11:49,33,27,2
18:11:50,34,21,2
18:11:50,34,25,2
18:11:50,29,28,2
18:11:50,30,24,2
18:11:50,33,20,2
18:11:50,28,23,2
18:11:51,29,19,2
18:11:51,30,21,2
18:11:51,27,20,2
18:11:51,30,24,2
18:11:51,29,24,2
18:11:51,28,23,2
18:11:52,30,21,2
18:11:52,30,24,2
18:11:52,29,27,2
18:11:52,30,25,2
18:11:52,27,29,1
18:11:52,26,22,2
18:11:52,28,18,2
18:11:53,25,22,2
18:11:53,27,22,2
18:11:53,25,24,2
18:11:53,26,28,1
18:11:53,30,26,2
18:11:53,35,31,2
18:11:54,29,24,2
18:11:54,30,30,1
18:11:54,28,28,1
18:11:54,28,29,1
18:11:54,29,26,2
18:11:54,29,32,1
18:11:55,29,36,1
18:11:55,28,36,1
18:11:55,24,32,1
18:11:55,25,27,1
18:11:55,25,25,1
18:11:55,25,22,2
18:11:56,27,27,1
18:11:56,29,30,1
18:11:56,30,25,2
18:11:56,29,27,2
18:11:56,29,23,2
18:11:56,30,30,1
18:11:56,31,25,2
